feature,present,negative,positive,total,positive_pct
CsgD,TRUE,231,315,546,57.7
CsgD,FALSE,6,6,12,50
NarG,TRUE,235,319,554,57.6
NarG,FALSE,2,2,4,50
NarH,TRUE,234,319,553,57.7
NarH,FALSE,3,2,5,40
NarI,TRUE,233,319,552,57.8
NarI,FALSE,4,2,6,33.3
NarJ,TRUE,234,319,553,57.7
NarJ,FALSE,3,2,5,40
NarL,TRUE,234,318,552,57.6
NarL,FALSE,3,3,6,50
NarP,TRUE,233,319,552,57.8
NarP,FALSE,4,2,6,33.3
NarQ,TRUE,231,318,549,57.9
NarQ,FALSE,6,3,9,33.3
NarV,TRUE,233,311,544,57.2
NarV,FALSE,4,10,14,71.4
NarX,TRUE,234,318,552,57.6
NarX,FALSE,3,3,6,50
NarY,TRUE,235,311,546,57
NarY,FALSE,2,10,12,83.3
NarZ,TRUE,230,310,540,57.4
NarZ,FALSE,7,11,18,61.1
