feature,absent_n,absent_positive,absent_negative,present_n,present_positive,present_negative,absent_positive_pct,present_positive_pct,haldane_or_present_vs_absent,fisher_p_value,bh_q_value,significant_bh_0_05
NarY,12,10,2,546,311,235,83.3,57,0.315,0.08066021129997848,0.8869880584805454,FALSE
NarQ,9,3,6,549,318,231,33.3,57.9,2.555,0.17897879792980684,0.8869880584805454,FALSE
NarI,6,2,4,552,319,233,33.3,57.8,2.463,0.4093040993591786,0.8869880584805454,FALSE
NarP,6,2,4,552,319,233,33.3,57.8,2.463,0.4093040993591786,0.8869880584805454,FALSE
NarV,14,10,4,544,311,233,71.4,57.2,0.572,0.41317517394988135,0.8869880584805454,FALSE
NarH,5,2,3,553,319,234,40,57.7,1.907,0.6550635342614843,0.8869880584805454,FALSE
NarJ,5,2,3,553,319,234,40,57.7,1.907,0.6550635342614843,0.8869880584805454,FALSE
NarL,6,3,3,552,318,234,50,57.6,1.358,0.7024689074913709,0.8869880584805454,FALSE
NarX,6,3,3,552,318,234,50,57.6,1.358,0.7024689074913709,0.8869880584805454,FALSE
CsgD,12,6,6,546,315,231,50,57.7,1.363,0.769288510274258,0.8869880584805454,FALSE
NarZ,18,11,7,540,310,230,61.1,57.4,0.879,0.8130723869405,0.8869880584805454,FALSE
NarG,4,2,2,554,319,235,50,57.6,1.357,1,1,FALSE
