slide,value_label,value,scope,registry_field
1,Analytical episodes,532,analysis,analytical_cohort.episodes
1,Analytical residents,161,analysis,analytical_cohort.residents
1,Operational UTI,16,analysis,analytical_cohort.operational_UTI
1,Operational Not_UTI,516,analysis,analytical_cohort.operational_Not_UTI
2,Direct pairs,893,analysis,direct_pairs.all_within_resident
2,Adjacent transitions,371,analysis,adjacent_transitions.pairs
2,Focused total,9,analysis,adjacent_transitions.Not_UTI_to_UTI
2,Focused at threshold,5,analysis,adjacent_transitions.Not_UTI_to_UTI_at_or_below_threshold
3,Near-miss rows,17,separate audit,near_miss_audit.rows
4,Full clinical source episodes,583,attrition/QC context only,attrition_qc_context.episodes
5,VFDB features,227,analysis,genomic_dimensions.VFDB_binary_features
5,MLST typed episodes,493,analysis,genomic_dimensions.MLST_typed_episodes
6,Transition residents,139,analysis,adjacent_transitions.residents
6,Transitions at threshold,140,analysis,adjacent_transitions.at_or_below_threshold
8,Casebook cases,9,analysis,mechanism_casebook.cases
8,Casebook linked,9,analysis,mechanism_casebook.linked
8,Casebook missing,0,analysis,mechanism_casebook.missing
