section,term,plain_language_meaning,recommended_wording,avoid_wording
Purpose,Candidate genomic cluster,"A group of isolates with strong genomic similarity that should be checked against nursing-home, ward and timing information.",Candidate genomic cluster; requires epidemiological confirmation.,Confirmed outbreak or proven transmission.
Evidence,ST,Sequence type describes a broad bacterial lineage. The same ST is useful for screening but is not strain-level proof.,"The isolates share ST [number], supporting membership of the same lineage.",They are the same strain because they have the same ST.
Evidence,VF Jaccard similarity,The proportion of detected virulence-factor genes shared by two isolates. 1.00 means identical detected profiles across the 227 genes.,The isolates had identical/highly similar detected virulence-factor profiles.,The virulence profile proves transmission.
Evidence,Preliminary core-SNP distance,A study-wide screening distance from the common core-genome alignment. It is used to shortlist pairs and is not the final pair-specific result.,The pair passed the preliminary core-SNP screen.,This screening distance alone confirms the same strain.
Evidence,Direct SNP distance,Pair-specific whole-assembly comparison. The project uses <=25 SNPs as an operational same-strain threshold.,The pair was genetically closely related under the project's operational <=25-SNP rule.,The <=25-SNP result proves who transmitted to whom.
Resistance,ResFinder gene,A resistance-associated gene detected in the assembled genome at >=80% identity and >=80% coverage.,"The genome contains [gene], which is associated with [class]; phenotypic susceptibility was not available for confirmation.",The isolate is clinically resistant to [drug].
Resistance,AMR-profile similarity,Jaccard similarity of detected ResFinder genes after excluding the near-ubiquitous mdf(A) gene from the calculation.,The isolates shared a similar detected resistance-gene profile.,The shared AMR profile defines the cluster.
Limitations,Nursing-home linkage,Facility and ward variables are absent from these genomic files. The colleague must link Participant_id to her local metadata.,"Please check whether cluster members overlap by nursing home, ward and time.",This is a nursing-home cluster.
Limitations,Phenotype,"No MIC, disk-diffusion or susceptible/intermediate/resistant results were found.",These are genotypic AMR findings only.,Genotypic detection is confirmed clinical resistance.
Limitations,Plasmids,Plasmid replicon screening is not included in this resistance-gene-only report and a shared replicon would not prove an identical plasmid.,Plasmid structure was not assessed in this report.,The isolates share the same plasmid.
Methods,High-priority rule,"Different participants, same reliable provider ST, identical 227-gene VF profile, preliminary core SNPs <=25, and direct SNPs <=25.",High-priority candidate genomic relationship.,Confirmed transmission.
Methods,Moderate-priority rule,"Different participants, same reliable provider ST, VF Jaccard >=0.95, and preliminary core SNPs <=25; direct validation is pending or supporting information is incomplete.",Moderate-priority candidate for epidemiological linkage.,Same strain.
Methods,Possible related lineage,"Different participants with the same ST, VF Jaccard 0.90-0.949, and preliminary core SNPs <=25, or incomplete ST-quality support.","Possible related lineage; check facility, ward and timing.",Transmission cluster.
Source,Active VF dataset,/Users/Aamir/Desktop/rUTIs/results/vf/vf_analysis_ready.csv,Current 532-isolate QC-selected VF dataset.,
Source,Direct pair method,11_compare_strains.R using dnadiff and the project's operational 25-SNP threshold.,Pair-specific validation method.,
Source,AMR data,/Users/Aamir/Desktop/rUTIs/results/mechanism/amr_resfinder_hits_long.csv,ResFinder gene calls filtered at >=80% identity and coverage.,
