Participant_id_A,Timepoint_A,Participant_id_B,Timepoint_B,AvgIdentity,TotalSNPs,dnadiff_report_path,dnadiff_sidecar_path,dnadiff_report_sha256,dnadiff_cache_signature,dnadiff_cache_status,dnadiff_version
120003,T1,20057,T2,99.9891,36,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__20057__T2__192ad6e88f999675011cba98.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__20057__T2__192ad6e88f999675011cba98.provenance.json,0f8d7f0d52edb0ce40cb01cd3e306b929d3d89ac26f366d9edae38cfb7da62eb,192ad6e88f999675011cba989e2543e753a49ed60fb2edda69bff8bc1a25e600,reused,dnadiff | DNAdiff version 1.3
120003,T1,61008,T3,99.989,24,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__61008__T3__21d51f9c5cac08724feb105f.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__61008__T3__21d51f9c5cac08724feb105f.provenance.json,e613902a41ac60f62278f4af6d42efe330ddfc0e28227ce01f43b689bbde7fea,21d51f9c5cac08724feb105f8e62e23beb676f606da134277ae077e9e1d94ca7,reused,dnadiff | DNAdiff version 1.3
20057,T2,61008,T3,99.9891,26,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20057__T2__vs__61008__T3__5094225d8d75ec6c681ab07e.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20057__T2__vs__61008__T3__5094225d8d75ec6c681ab07e.provenance.json,53ab9576574369310824131276aa50372ef5e9c748ec5d9f4736918093fb9171,5094225d8d75ec6c681ab07e85fff0049296948993f6570ff4556195600585a0,reused,dnadiff | DNAdiff version 1.3
100054,T0,100055,T0,99.99,100,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/100054__T0__vs__100055__T0__e5c7a62c6a88e8d1e75beb68.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/100054__T0__vs__100055__T0__e5c7a62c6a88e8d1e75beb68.provenance.json,6ca8f96535de55dad47c3665b27aae335a53c73dfa66bf809ecdd104528978e3,e5c7a62c6a88e8d1e75beb684fadec5603f64e3e71a46bf4840006df041718c7,reused,dnadiff | DNAdiff version 1.3
110018,T0,110023,T0,99.9839,103,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T0__fa35f7c802d531ef1a6f610c.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T0__fa35f7c802d531ef1a6f610c.provenance.json,eb73be4a9bd042e859aa4e741483f2b59a5a5954047e6400ce4b8eab2c85eba3,fa35f7c802d531ef1a6f610cc1ba26d69939d60d8846397a10bc1f5da1f4115d,reused,dnadiff | DNAdiff version 1.3
110018,T0,110023,T1,99.9848,100,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T1__b56bfa46eae0dee8d6f8c8e5.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T1__b56bfa46eae0dee8d6f8c8e5.provenance.json,a51294bf0ea846c581a400e9593ecf8f65a353b5979cbf716ecbb4209b31fcfa,b56bfa46eae0dee8d6f8c8e582911d568b8f0946d8e82647e84d6d1c3112993c,reused,dnadiff | DNAdiff version 1.3
110018,T0,110023,T2,99.9855,114,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T2__56b3bf1d37ce71b655ec42c2.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110018__T0__vs__110023__T2__56b3bf1d37ce71b655ec42c2.provenance.json,46b27a40de1d2a621ab44d85fff8e0c07b04476d7a25036a661916d4cdd7e52b,56b3bf1d37ce71b655ec42c246b7bdd5d5200e475c17eee8cdc6128b72842130,reused,dnadiff | DNAdiff version 1.3
70031,T0,20037,T4,99.9878,54,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/70031__T0__vs__20037__T4__b5df3e236ec2b9a98d734749.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/70031__T0__vs__20037__T4__b5df3e236ec2b9a98d734749.provenance.json,c49bd5b5ceff9262d49b00a365cc4a7b851a0d1cea0a42a44cda0092a694f247,b5df3e236ec2b9a98d7347495cadc573230ea75b2ed10b97d2fc93020e41eee5,reused,dnadiff | DNAdiff version 1.3
70031,T1,20037,T4,99.9888,51,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/70031__T1__vs__20037__T4__ddb07348ed0a229dc68aa352.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/70031__T1__vs__20037__T4__ddb07348ed0a229dc68aa352.provenance.json,fd37f26d9778863fbff4e26090a4fb94531f87fd096cc287fde99ec99e835fb5,ddb07348ed0a229dc68aa352c9a2a12ef7998e61891fd324cb4e38ce4dcb2f43,reused,dnadiff | DNAdiff version 1.3
80011,T0,100061,T3,99.99,90,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/80011__T0__vs__100061__T3__7ec65ff202aa997ff20b7ace.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/80011__T0__vs__100061__T3__7ec65ff202aa997ff20b7ace.provenance.json,7ee37d979dcacd73a5ec04936b01d1d1c67fba4bf928659ab0413099e6b7be0c,7ec65ff202aa997ff20b7ace216baf31bcabb0d065f19085d21145c63ba30252,reused,dnadiff | DNAdiff version 1.3
80011,T4,100061,T3,99.99,8,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/80011__T4__vs__100061__T3__f540951aed6e5a8405d6477c.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/80011__T4__vs__100061__T3__f540951aed6e5a8405d6477c.provenance.json,8dc105f7da6d4c2b28fa795c06b692dbf15cad05f8693538f97686cb6b0d67d2,f540951aed6e5a8405d6477cd7a3cb4f16a5a2ec162cc7b0a2264d354a09a213,reused,dnadiff | DNAdiff version 1.3
20058,T2,20062,T3,99.99,9,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20058__T2__vs__20062__T3__3a329a8fb583fa7c681ab16d.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20058__T2__vs__20062__T3__3a329a8fb583fa7c681ab16d.provenance.json,dec69b1f4d82dad71ed1693abcbd74e76166097e25b31d35658a5089162bb0d8,3a329a8fb583fa7c681ab16d36336eec19df31f631cdddc0160c8674da4147d1,reused,dnadiff | DNAdiff version 1.3
20062,T0,20058,T2,99.99,51,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20062__T0__vs__20058__T2__46473d01c358b17eca8000d5.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20062__T0__vs__20058__T2__46473d01c358b17eca8000d5.provenance.json,6c2fd17788049f867267cb15e0a1ae22aa880361a8f562a62043ceeaefcb5d08,46473d01c358b17eca8000d5922853b5306bc2f25c3a6f2f972e3fc6d2ac6875,reused,dnadiff | DNAdiff version 1.3
20062,T1,20058,T2,99.99,9,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20062__T1__vs__20058__T2__5a1a7c8ac36edea912ac1e2d.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20062__T1__vs__20058__T2__5a1a7c8ac36edea912ac1e2d.provenance.json,8095be0a20cfd91c33c77b0ab3cf1c1a92d954fe47f0d22d40bae9791b854672,5a1a7c8ac36edea912ac1e2d6653964554632e0336f9d818c795062780f28c9f,reused,dnadiff | DNAdiff version 1.3
20072,T1,140029,T3,99.9895,19,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T1__vs__140029__T3__4b18c039abb2f57458f79088.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T1__vs__140029__T3__4b18c039abb2f57458f79088.provenance.json,fc386428e4394c8d82e5876d4f265d153a7784d07a67215db126c194ac5494e9,4b18c039abb2f57458f7908854e7cb320e31874939cc2662b9eb4173ee1bbfcc,reused,dnadiff | DNAdiff version 1.3
140029,T2,20072,T5,99.99,5,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140029__T2__vs__20072__T5__75f6cf1ea2c773fd06721ad3.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140029__T2__vs__20072__T5__75f6cf1ea2c773fd06721ad3.provenance.json,76c9972c64d0c003e252ec12e74691f5d847b4927839003fb5da0c0f6011753a,75f6cf1ea2c773fd06721ad3195c0a32f3b828ad9f85289729c9f3d2d5677392,reused,dnadiff | DNAdiff version 1.3
140029,T2,20072,T6,99.9853,99,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140029__T2__vs__20072__T6__8c90ee033e129cba3a9d52aa.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140029__T2__vs__20072__T6__8c90ee033e129cba3a9d52aa.provenance.json,6859a7bcbb4093303c2a83a15afab6f199c03455abcc1148235128ff03ec3dc5,8c90ee033e129cba3a9d52aa325f45bfe7dbdfd362e6b24b558e8cfd4ccfe376,reused,dnadiff | DNAdiff version 1.3
20071,T0,140029,T2,99.9896,9,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__140029__T2__37c3bbb177142231e684d42d.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__140029__T2__37c3bbb177142231e684d42d.provenance.json,1a768785954beca2815bae21d7cbb366ef012623d3ab1ea9ab0fbea22c00bf1a,37c3bbb177142231e684d42dc60b7a31a946a0c75db8adc0f329c284182808f1,reused,dnadiff | DNAdiff version 1.3
20071,T0,20072,T5,99.9901,8,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__20072__T5__9f0dfb1f0d7ef88ef9bb4ffb.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__20072__T5__9f0dfb1f0d7ef88ef9bb4ffb.provenance.json,4c958be3bca3d880d1c191575590a767dcd66f776c5951457e2deee4b0db7a2b,9f0dfb1f0d7ef88ef9bb4ffb13dc64d4a9b3c76ad0a276ee1125ea5fd1a48e8b,reused,dnadiff | DNAdiff version 1.3
20071,T0,20072,T6,99.9886,196,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__20072__T6__640d21670ce54af6b1fcbb13.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T0__vs__20072__T6__640d21670ce54af6b1fcbb13.provenance.json,5a0b4d4956f29860af7ab554439bd238cdc7dddd9c2b49e238ba4029d4a0eca0,640d21670ce54af6b1fcbb1301b5e85f8ce85b2030b0df534c022c33c5b809a0,reused,dnadiff | DNAdiff version 1.3
20071,T1,140029,T2,99.9895,11,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__140029__T2__46108e5e824f23114d1f818e.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__140029__T2__46108e5e824f23114d1f818e.provenance.json,6cf58fa6314253cc73b1225487d20d5299c6a594364f06411d0dbd051f5c7a20,46108e5e824f23114d1f818e6b56faa94523b37a2fdfc864aec8282bde073270,reused,dnadiff | DNAdiff version 1.3
20071,T1,20072,T5,99.99,10,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__20072__T5__1379f4d94138dc78db8dff0b.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__20072__T5__1379f4d94138dc78db8dff0b.provenance.json,364eea8ae655259e5605de6dac2c0611260297ebbb9105e6c94c47d9f49fb8d7,1379f4d94138dc78db8dff0bfd6f96e31170e826364905280d4bcceda81a7e29,reused,dnadiff | DNAdiff version 1.3
20071,T1,20072,T6,99.9886,196,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__20072__T6__443add328d95fff4403f5521.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T1__vs__20072__T6__443add328d95fff4403f5521.provenance.json,7012eb16f8f9d988c40b7d49215f49d3333fd86a297a7c8445dc5390686a58aa,443add328d95fff4403f5521c486ee8ee141079402f37247c545e1ab2d5bd6f9,reused,dnadiff | DNAdiff version 1.3
20071,T2,140029,T2,99.9898,9,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__140029__T2__423da8a05c5c47d474594ae2.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__140029__T2__423da8a05c5c47d474594ae2.provenance.json,4c526ceaf23b1b3c120c0d5a58f79cf95c404f2c6644ee5ec45dc081668c015b,423da8a05c5c47d474594ae2982e143b61338dd75fef592ecd89d5af7d243901,reused,dnadiff | DNAdiff version 1.3
20071,T2,20072,T5,99.9902,8,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__20072__T5__295851c21bf25b06c897c0d0.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__20072__T5__295851c21bf25b06c897c0d0.provenance.json,46fab12455f4a8544ec3ab13eab1cef80d51c65ef9a389e856ba3aed9a8f317b,295851c21bf25b06c897c0d02c5426d5e52fdeaaf9c76540565a507f53c4facc,reused,dnadiff | DNAdiff version 1.3
20071,T2,20072,T6,99.9857,102,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__20072__T6__f7e3e4451ff66f60e1099942.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20071__T2__vs__20072__T6__f7e3e4451ff66f60e1099942.provenance.json,cf7279b1f9b08eb6b7fe28a91af752bcaa7ff767844e3cdd9ead3e7543ddb8e5,f7e3e4451ff66f60e1099942c2b02e981f846f60df9fc845d9890a84946ab780,reused,dnadiff | DNAdiff version 1.3
20072,T3,20037,T5,99.99,136,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T3__vs__20037__T5__6e03a25f2c0d878661a236f5.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T3__vs__20037__T5__6e03a25f2c0d878661a236f5.provenance.json,e09eba128e4c6bf848f7c16b17bb410b8a72b35cfac5c04104d3d71d83ac4a6a,6e03a25f2c0d878661a236f5dbd104c611e63cb9f34472751852efb93406e899,reused,dnadiff | DNAdiff version 1.3
