gene,present_n,screened_n,present_pct,median_pident,median_qcov
CsgD,5,5,100,99.39,100
NarG,5,5,100,97.33,100
NarH,5,5,100,97.27,100
NarI,5,5,100,96.91,100
NarJ,5,5,100,98.03,100
NarL,5,5,100,98.46,100
NarP,5,5,100,97.53,100
NarQ,5,5,100,98,100
NarV,5,5,100,83.11,100
NarX,5,5,100,98.5,100
NarY,5,5,100,96.44,100
NarZ,3,5,60,97.03,100
