step,script_or_layer,role,primary_output,analytical_contract
01,00a/00b,Operational clinical phenotype,selected analytical clinical cohort,532 episodes; 16 UTI; 516 Not_UTI
02,12a,Selected assembly QC and cohort publication,selected assembly manifest,532 selected QC-passing Longcycler inputs
03,02,VFDB screening,VF presence/absence,227 binary features on selected inputs
04,06,MLST lineage context,canonical MLST table,493 typed episodes; 76 ST labels
05,11 + helper,Direct pair comparison,pairwise metrics,893 hash-bound direct pairs
06,12b,Core-genome context,core alignment and distances,selected cohort only
07,12c,Pangenome context,annotation and pangenome outputs,selected cohort only
08,24,Longitudinal rebuild,Longcycler transitions,371 transitions from 139 residents
09,29,Genomic AMR and VF/plasmid integration,validated episode and adjacent-pair AMR profiles,532 episodes; 371 adjacent pairs; AMRFinderPlus primary; genomic prediction—not phenotypic AST
10,28 / 33–35,Focused transition casebook and audit,casebook and near-miss audit,9/9/0 casebook; 17 near-miss rows
11,research_questions/run_all.R,Numbered release layer,RQ01–RQ10,ten main research questions; AMR remains a supporting layer
