gene,gene_lower,qlen_reference
CsgD,csgd,652
NarG,narg,3745
NarH,narh,1540
NarI,nari,680
NarJ,narj,711
NarL,narl,651
NarP,narp,649
NarQ,narq,1703
NarV,narv,681
NarX,narx,1798
NarY,nary,1545
NarZ,narz,3738
